Grid Size,30
NULL,NodeType,GridX,GridY,Length,Width,Height,PosX,PosY,PosZ
0,0,0,0,6.6666,6.6669,0,-97.0695,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,0,6.6666,6.6666,0,-90.4028,-97.3377,0
0,1,1,1,6.6667,6.6666,0,-90.4028,-90.6711,0
0,1,0,1,6.6667,6.6669,0,-97.0695,-90.6711,0
0,0,1,0,6.6666,6.6666,0,-90.4028,-97.3377,0
0,1,0,1,6.6667,6.6669,0,-97.0695,-90.6711,0
0,1,0,0,6.6666,6.6669,0,-97.0695,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,2,0,6.6666,6.6667,0,-83.7362,-97.3377,0
0,1,2,1,6.6667,6.6667,0,-83.7362,-90.6711,0
0,1,1,1,6.6667,6.6666,0,-90.4028,-90.6711,0
0,0,2,0,6.6666,6.6667,0,-83.7362,-97.3377,0
0,1,1,1,6.6667,6.6666,0,-90.4028,-90.6711,0
0,1,1,0,6.6666,6.6666,0,-90.4028,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,0,6.6666,6.6667,0,-77.0695,-97.3377,0
0,1,3,1,6.6667,6.6667,0,-77.0695,-90.6711,0
0,1,2,1,6.6667,6.6667,0,-83.7362,-90.6711,0
0,0,3,0,6.6666,6.6667,0,-77.0695,-97.3377,0
0,1,2,1,6.6667,6.6667,0,-83.7362,-90.6711,0
0,1,2,0,6.6666,6.6667,0,-83.7362,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,4,0,6.6666,6.6666,0,-70.4028,-97.3377,0
0,1,4,1,6.6667,6.6666,0,-70.4028,-90.6711,0
0,1,3,1,6.6667,6.6667,0,-77.0695,-90.6711,0
0,0,4,0,6.6666,6.6666,0,-70.4028,-97.3377,0
0,1,3,1,6.6667,6.6667,0,-77.0695,-90.6711,0
0,1,3,0,6.6666,6.6667,0,-77.0695,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,5,0,6.6666,6.6667,0,-63.7362,-97.3377,0
0,1,5,1,6.6667,6.6667,0,-63.7362,-90.6711,0
0,1,4,1,6.6667,6.6666,0,-70.4028,-90.6711,0
0,0,5,0,6.6666,6.6667,0,-63.7362,-97.3377,0
